    0        2170.27             1.19674   1.66822
    1        6328.81             1.07789   1.91726
    2       10244.68             1.00424   2.12935
    3       13917.88             0.94106   2.34394
    4       17348.40             0.87533   2.58231
    5       20536.26             0.80047   2.86542
    6       23481.44             0.71483   3.21811
    7       26183.95             0.62129   3.67037
    8       28643.78             0.52579   4.25658
    9       30860.95             0.43493   5.01331
   10       32835.44             0.35376   5.97729
   11       34567.26             0.28476   7.18444
   12       36056.41             0.22817   8.67025
   13       37302.89             0.18279  10.47063
