    0        1204.50             1.67799   2.31100
    1        3509.23             1.51924   2.64736
    2        5674.90             1.42056   2.93518
    3        7701.53             1.33451   3.22779
    4        9589.10             1.24280   3.55440
    5       11337.63             1.13611   3.94439
    6       12947.12             1.01245   4.43331
    7       14417.55             0.87669   5.06470
    8       15748.94             0.73824   5.88853
    9       16941.27             0.60719   6.95783
   10       17994.56             0.49099   8.32545
   11       18908.81             0.39304  10.04281
