    0        1261.82             1.64301   2.26358
    1        3589.72             1.47712   2.61460
    2        5656.62             1.35200   2.95455
    3        7462.52             1.21303   3.36813
    4        9007.42             1.04372   3.93846
    5       10291.32             0.85191   4.77522
    6       11314.22             0.66136   6.01346
    7       12076.12             0.49519   7.79945
    8       12577.02             0.36403  10.28019
    9       12816.92             0.26666  13.60506
