    0         673.82             2.08119   2.92551
    1        1990.14             1.88389   3.36728
    2        3264.68             1.77627   3.72517
    3        4497.44             1.70051   4.05910
    4        5688.42             1.63726   4.39081
    5        6837.63             1.57539   4.73436
    6        7945.07             1.50708   5.10205
    7        9010.72             1.42701   5.50678
    8       10034.61             1.33254   5.96364
    9       11016.71             1.22405   6.49078
   10       11957.04             1.10479   7.10955
   11       12855.60             0.98002   7.84387
   12       13712.38             0.85576   8.71897
   13       14527.38             0.73744   9.76018
   14       15300.60             0.62902  10.99202
   15       16032.05             0.53274  12.43799
   16       16721.73             0.44929  14.12071
   17       17369.62             0.37822  16.06238
   18       17975.75             0.31841  18.28524
   19       18540.09             0.26848  20.81195
   20       19062.66             0.22695  23.66579
   21       19543.46             0.19248  26.87085
   22       19982.47             0.16385  30.45202
   23       20379.71             0.14003  34.43513
   24       20735.18             0.12017  38.84681
   25       21048.87             0.10356  43.71455
   26       21320.79             0.08960  49.06661
   27       21550.92             0.07784  54.93212
   28       21739.29             0.06789  61.34089
   29       21885.87             0.05944  68.32357
   30       21990.68             0.05222  75.91148
   31       22053.71             0.04605  84.13670
   32       22074.97             0.04074  93.03202
