    0        1217.64             1.68623   2.31545
    1        3559.30             1.52491   2.64220
    2        5778.91             1.42551   2.91650
    3        7879.78             1.34259   3.18908
    4        9865.23             1.25954   3.48538
    5       11738.56             1.16751   3.82878
    6       13503.08             1.06284   4.24571
    7       15162.11             0.94673   4.76744
    8       16718.96             0.82433   5.43000
    9       18176.95             0.70279   6.27252
   10       19539.38             0.58891   7.33492
   11       20809.56             0.48742   8.65622
   12       21990.81             0.40045  10.27392
   13       23086.44             0.32798  12.22444
   14       24099.77             0.26870  14.54379
   15       25034.10             0.22071  17.26828
   16       25892.74             0.18206  20.43488
   17       26679.01             0.15096  24.08134
